sweep,label,generator,n,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
coarse,cholesky_v1_serial_opt,corr,1,7,1,0.000000082,0.000000087,0.000000090,0.000000114,0.333333333,0.003831418,8.000000000,0.000007629
coarse,cholesky_v1_serial_opt,corr,2,7,1,0.000000140,0.000000141,0.000000142,0.000000150,2.666666667,0.018912530,32.000000000,0.000030518
coarse,cholesky_v1_serial_opt,corr,4,7,1,0.000000261,0.000000267,0.000000285,0.000000331,21.333333333,0.079900125,128.000000000,0.000122070
coarse,cholesky_v1_serial_opt,corr,8,7,1,0.000000724,0.000000729,0.000000799,0.000001014,170.666666667,0.234110654,512.000000000,0.000488281
coarse,cholesky_v1_serial_opt,corr,10,7,1,0.000001078,0.000001083,0.000001164,0.000001403,333.333333333,0.307787011,800.000000000,0.000762939
coarse,cholesky_v1_serial_opt,corr,16,7,1,0.000003223,0.000003237,0.000003398,0.000004001,1365.333333333,0.421789723,2048.000000000,0.001953125
coarse,cholesky_v1_serial_opt,corr,32,7,1,0.000019486,0.000019747,0.000020188,0.000021976,10922.666666667,0.553130433,8192.000000000,0.007812500
coarse,cholesky_v1_serial_opt,corr,64,7,1,0.000140096,0.000140768,0.000142078,0.000147733,87381.333333333,0.620747140,32768.000000000,0.031250000
coarse,cholesky_v1_serial_opt,corr,100,7,1,0.000462502,0.000469020,0.000492568,0.000590182,333333.333333333,0.710701747,80000.000000000,0.076293945
coarse,cholesky_v1_serial_opt,corr,124,7,1,0.000656718,0.000693816,0.000709377,0.000773499,635541.333333333,0.916008471,123008.000000000,0.117309570
coarse,cholesky_v1_serial_opt,corr,127,7,1,0.000565305,0.000630901,0.000615387,0.000638819,682794.333333333,1.082252736,129032.000000000,0.123054504
coarse,cholesky_v1_serial_opt,corr,128,7,1,0.000542073,0.000544502,0.000544971,0.000547346,699050.666666667,1.283834893,131072.000000000,0.125000000
coarse,cholesky_v1_serial_opt,corr,129,7,1,0.000456043,0.000466631,0.000476426,0.000502274,715563.000000000,1.533466486,133128.000000000,0.126960754
coarse,cholesky_v1_serial_opt,corr,255,7,1,0.002406659,0.002546851,0.002631049,0.003032261,5527125.000000000,2.170179959,520200.000000000,0.496101379
coarse,cholesky_v1_serial_opt,corr,256,7,1,0.002511516,0.002532470,0.002532681,0.002558281,5592405.333333333,2.208280980,524288.000000000,0.500000000
coarse,cholesky_v1_serial_opt,corr,257,7,1,0.002561588,0.002568126,0.002749408,0.003212820,5658197.666666666,2.203239898,528392.000000000,0.503913879
coarse,cholesky_v1_serial_opt,corr,511,7,1,0.020933540,0.021255620,0.021339594,0.021935216,44477610.333333328,2.092510608,2088968.000000000,1.992195129
coarse,cholesky_v1_serial_opt,corr,512,7,1,0.022103060,0.022737607,0.022812378,0.023793386,44739242.666666664,1.967631979,2097152.000000000,2.000000000
coarse,cholesky_v1_serial_opt,corr,513,7,1,0.021281702,0.021579807,0.021759275,0.022748428,45001899.000000000,2.085370782,2105352.000000000,2.007820129
coarse,cholesky_v1_serial_opt,corr,1000,7,1,0.160588412,0.162818474,0.163674372,0.171776695,333333333.333333313,2.047269730,8000000.000000000,7.629394531
coarse,cholesky_v1_serial_opt,corr,1024,7,1,0.174694187,0.176619168,0.178456524,0.183182873,357913941.333333313,2.026472808,8388608.000000000,8.000000000
fine,cholesky_v1_serial_opt,corr,992,7,1,0.155811393,0.157755939,0.159288036,0.165344060,325397162.666666627,2.062661886,7872512.000000000,7.507812500
fine,cholesky_v1_serial_opt,corr,1000,7,1,0.160776303,0.168632859,0.169171622,0.182200942,333333333.333333313,1.976680792,8000000.000000000,7.629394531
fine,cholesky_v1_serial_opt,corr,1008,7,1,0.165385707,0.166665782,0.166902896,0.170915148,341397504.000000000,2.048395897,8128512.000000000,7.751953125
fine,cholesky_v1_serial_opt,corr,1013,7,1,0.167180627,0.168962881,0.169203132,0.171095337,346503065.666666627,2.050764426,8209352.000000000,7.829048157
fine,cholesky_v1_serial_opt,corr,1023,7,1,0.173504922,0.179167565,0.178914713,0.183503104,356866389.000000000,1.991802417,8372232.000000000,7.984382629
fine,cholesky_v1_serial_opt,corr,1024,7,1,0.175659024,0.177612435,0.178318827,0.181460102,357913941.333333313,2.015140107,8388608.000000000,8.000000000
fine,cholesky_v1_serial_opt,corr,1025,7,1,0.175657576,0.178816275,0.178865758,0.186104477,358963541.666666627,2.007443347,8405000.000000000,8.015632629
fine,cholesky_v1_serial_opt,corr,1032,7,1,0.177009756,0.182665268,0.182225534,0.190026032,366368256.000000000,2.005680992,8520192.000000000,8.125488281
large,cholesky_v1_serial_opt,corr,1152,7,1,0.246650954,0.252553700,0.253684424,0.265665178,509607936.000000000,2.017820115,10616832.000000000,10.125000000
large,cholesky_v1_serial_opt,corr,1280,7,1,0.342367264,0.344106447,0.344481904,0.347389570,699050666.666666627,2.031495407,13107200.000000000,12.500000000
